ID,X,Y,Layer,Direction,DijkstraValue,site,color
0,44.99105546,43.11270125,0,0,0,1,0
1,42.48658318,43.20214669,0,0,0,1,0
2,43.20214669,40.4293381,0,0,0,1,0
3,46.86940966,37.92486583,0,0,0,1,0
4,45.16994633,34.3470483,0,0,0,1,0
5,40.96601073,33.1842576,0,0,0,1,0
6,43.82826476,28.35420394,0,0,0,1,0
7,45.52772809,25.67084079,0,0,0,1,0
8,48.21109123,28.44364937,0,0,0,1,0
9,47.49552773,20.12522361,0,0,0,1,0
10,42.03935599,18.87298748,0,0,0,1,0
11,46.69051878,15.92128801,0,0,0,1,0
12,41.77101968,14.75849732,0,0,0,1,0
13,43.47048301,11.35957066,0,0,0,1,0
14,46.60107335,10.64400716,0,0,0,1,0
15,44.72271914,5.992844365,0,0,0,1,0
16,41.94991055,7.781753131,0,0,0,1,0
17,47.13774597,3.398926655,0,0,0,1,0
18,49.28443649,5.903398927,0,0,0,1,0
19,48.8372093,0.805008945,0,0,0,1,0
20,43.38103757,46.24329159,0,0,0,0,0
21,37.20930233,42.39713775,0,0,0,0,0
22,36.76207513,37.83542039,0,0,0,0,0
23,38.46153846,34.88372093,0,0,0,0,0
24,41.5921288,37.11985689,0,0,0,0,0
25,37.47763864,31.48479428,0,0,0,0,0
26,33.72093023,37.11985689,0,0,0,0,0
27,35.33094812,28.35420394,0,0,0,0,0
28,38.5509839,25.58139535,0,0,0,0,0
29,39.80322004,20.84078712,0,0,0,0,0
30,36.85152057,15.56350626,0,0,0,0,0
31,37.29874776,12.88014311,0,0,0,0,0
32,38.81932021,10.01788909,0,0,0,0,0
33,37.65652952,5.18783542,0,0,0,0,0
34,38.5509839,2.057245081,0,0,0,0,0
35,40.96601073,2.59391771,0,0,0,0,0
36,34.97316637,42.03935599,0,0,0,0,0
37,34.16815742,45.43828265,0,0,0,0,0
38,37.83542039,47.22719141,0,0,0,0,0
39,40.33989267,47.76386404,0,0,0,0,0
40,47.76386404,45.7960644,0,0,0,0,0
41,29.42754919,48.21109123,0,0,0,0,0
42,29.33810376,45.70661896,0,0,0,0,0
43,29.42754919,41.14490161,0,0,0,0,0
44,29.42754919,39.35599284,0,0,0,0,0
45,29.24865832,35.68872987,0,0,0,0,0
46,29.15921288,33.09481216,0,0,0,0,0
47,29.15921288,28.80143113,0,0,0,0,0
48,29.60644007,25.76028623,0,0,0,0,0
49,29.78533095,23.70304114,0,0,0,0,0
50,29.69588551,19.67799642,0,0,0,0,0
51,30.50089445,17.71019678,0,0,0,0,0
52,31.12701252,12.25402504,0,0,0,0,0
53,30.23255814,8.944543828,0,0,0,0,0
54,31.03756708,6.171735242,0,0,0,0,0
55,30.41144902,1.610017889,0,0,0,0,0
56,3.13059034,47.13774597,0,0,0,0,0
57,1.967799642,42.39713775,0,0,0,0,0
58,6.797853309,35.509839,0,0,0,0,0
59,0.894454383,30.85867621,0,0,0,0,0
60,4.830053667,24.23971377,0,0,0,0,0
61,8.228980322,25.2236136,0,0,0,0,0
62,4.293381038,18.78354204,0,0,0,0,0
63,2.59391771,21.10912343,0,0,0,0,0
64,2.862254025,15.47406082,0,0,0,0,0
65,10.46511628,14.57960644,0,0,0,0,0
66,8.050089445,12.6118068,0,0,0,0,0
67,2.772808587,11.89624329,0,0,0,0,0
68,2.236135957,9.302325581,0,0,0,0,0
69,1.699463327,5.635062612,0,0,0,0,0
70,4.472271914,2.951699463,0,0,0,0,0
71,6.797853309,2.146690519,0,0,0,0,0
72,5.277280859,5.992844365,0,0,0,0,0
73,5.098389982,8.676207513,0,0,0,0,0
74,8.31842576,9.033989267,0,0,0,0,0
75,9.838998211,6.529516995,0,0,0,0,0
76,13.59570662,3.220035778,0,0,0,0,0
77,12.79069767,7.423971377,0,0,0,0,0
78,14.490161,11.53846154,0,0,0,0,0
79,13.59570662,16.36851521,0,0,0,0,0
80,11.18067979,17.26296959,0,0,0,0,0
81,5.813953488,17.08407871,0,0,0,0,0
82,9.481216458,21.10912343,0,0,0,0,0
83,13.41681574,20.39355993,0,0,0,0,0
84,13.41681574,27.19141324,0,0,0,0,0
85,10.82289803,27.63864043,0,0,0,0,0
86,9.033989267,31.93202147,0,0,0,0,0
87,12.6118068,31.93202147,0,0,0,0,0
88,17.26296959,28.35420394,0,0,0,0,0
89,10.82289803,37.11985689,0,0,0,0,0
90,8.765652952,39.7137746,0,0,0,0,0
91,13.59570662,39.98211091,0,0,0,0,0
92,8.676207513,43.38103757,0,0,0,0,0
93,5.545617174,45.97495528,0,0,0,0,0
94,9.39177102,46.77996422,0,0,0,0,0
95,6.887298748,48.56887299,0,0,0,0,0
96,16.36851521,1.699463327,0,0,0,0,0
97,17.88908766,4.203935599,0,0,0,0,0
98,18.60465116,9.212880143,0,0,0,0,0
99,18.51520572,13.50626118,0,0,0,0,0
100,17.88908766,18.78354204,0,0,0,0,0
101,19.23076923,23.07692308,0,0,0,0,0
102,20.30411449,28.08586762,0,0,0,0,0
103,17.79964222,31.39534884,0,0,0,0,0
104,15.02683363,34.70483005,0,0,0,0,0
105,15.38461538,37.29874776,0,0,0,0,0
106,15.56350626,41.50268336,0,0,0,0,0
107,14.04293381,44.54382826,0,0,0,0,0
108,15.11627907,46.60107335,0,0,0,0,0
109,16.27906977,47.94275492,0,0,0,0,0
